Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-July-2025,1635.05,1636.80,1611.65,1615.20,1622.210648991186539442,13729,1916,22271330.00,6028,43.91,25.15,-19.85
8-July-2025,1618.20,1642.45,1618.20,1635.05,1630.992734338698094876,23673,1665,38610491.00,14817,62.59,24.25,16.85
7-July-2025,1640.45,1645.70,1616.10,1624.70,1628.795385422128998426,28605,2011,46591692.00,14294,49.97,29.60,-15.75
4-July-2025,1648.90,1663.60,1640.50,1655.05,1654.560847478627183744,40355,2274,66769803.00,17540,43.46,23.10,6.15
3-July-2025,1690.30,1692.05,1670.00,1672.90,1679.947700164851149109,30937,1774,51972542.00,12389,40.05,22.05,-17.40
2-July-2025,1672.15,1699.00,1668.00,1676.90,1681.175139106477229755,55533,2807,93360699.00,20887,37.61,31.00,4.75
1-July-2025,1695.55,1697.20,1668.65,1671.45,1676.672070794068970175,29607,2288,49641230.00,17040,57.55,28.55,-24.10
30-June-2025,1676.10,1688.85,1660.10,1687.30,1676.050973123262279888,28054,1906,47019934.00,13511,48.16,28.75,11.20
27-June-2025,1696.00,1701.55,1662.30,1675.10,1681.503901079763148728,28710,2345,48275977.00,14384,50.10,39.25,-20.90
26-June-2025,1699.95,1703.00,1670.65,1690.90,1689.780710313201287930,20498,1494,34637125.00,7368,35.94,32.35,-9.05
25-June-2025,1685.20,1714.35,1676.70,1704.35,1699.746814092953523238,10672,954,18139698.00,3731,34.96,37.65,19.15
24-June-2025,1690.05,1708.25,1675.00,1676.70,1688.968066519994823346,30908,2426,52202625.00,10113,32.72,33.25,-13.35
23-June-2025,1670.25,1691.40,1670.25,1681.40,1681.719247317401897257,19291,1891,32442046.00,11646,60.37,21.15,11.15
20-June-2025,1682.00,1705.60,1669.40,1696.40,1689.587114553142965743,21047,1493,35560740.00,9069,43.09,36.20,14.40
19-June-2025,1690.00,1694.00,1661.60,1682.90,1680.997975259333222388,36054,2970,60606701.00,14326,39.73,32.40,-7.10
18-June-2025,1710.05,1732.45,1708.50,1710.70,1718.862658866249747831,24785,1979,42602011.00,8523,34.39,23.95,0.65
17-June-2025,1693.30,1724.80,1684.10,1716.60,1709.753314862457945774,70742,3913,120951369.00,31383,44.36,40.70,23.30
